"filename", "language", "YAML", "PowerShell", "Markdown", "JSON", "Python", "HTML", "Ini", "Shell Script", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-final-validation-record-20260418.md", "Markdown", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 31, 106
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-final-validation-record-template.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 30, 119
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-glade-adapter-judgement.md", "Markdown", 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 93, 323
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-layout-redefinition.md", "Markdown", 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 109, 381
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-lower-controls-responsibility.md", "Markdown", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 31, 116
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-owner-layout-consultation-20260418.md", "Markdown", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 29, 107
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-planning.md", "Markdown", 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 84, 380
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-realignment-notes-20260418.md", "Markdown", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 23, 153
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-ui-change-cutlist-20260418.md", "Markdown", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 43, 150
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-ui-preconsultation-20260418.md", "Markdown", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 27, 118
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase7-product-alignment-planning.md", "Markdown", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 37, 145
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase7-workstream1-inventory.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
