Date : 2026-06-10 21:30:02
Directory : c:\Users\oggy_\Develop\Repos\Harite
Total : 266 files,  23629 codes, -744 comments, 6695 blanks, all 29580 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\display_scale.py                                                      | Python           |         61 |          1 |         20 |         82 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\__init__.py                                                       | Python           |          1 |         -1 |          0 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\__init__.py                                              | Python           |          1 |         -1 |          0 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_backend.py                                           | Python           |         20 |        -11 |          5 |         14 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_dialog_builders.py                                   | Python           |          1 |          0 |          0 |          1 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_layout_builders.py                                   | Python           |         33 |          0 |         10 |         43 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_action_handlers.py                           | Python           |         -7 |         -2 |          0 |         -9 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_builders.py                                  | Python           |          4 |          0 |          0 |          4 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_dialogs.py                                   | Python           |          6 |         -6 |          0 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_file_dialog_flow.py                          | Python           |         -1 |         -1 |          0 |         -2 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_margin_text.py                               | Python           |          2 |          0 |          0 |          2 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_object_registry.py                           | Python           |          8 |          0 |          2 |         10 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_owner_sync.py                                | Python           |          2 |          0 |          1 |          3 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_preview.py                                   | Python           |        -17 |          0 |          0 |        -17 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_signal_wiring.py                             | Python           |         28 |          0 |          2 |         30 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_slideshow_ui.py                              | Python           |         65 |         -1 |          8 |         72 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_state_labels.py                              | Python           |         -3 |          0 |          0 |         -3 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_sync.py                                      | Python           |         48 |         -1 |         10 |         57 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_widget_access.py                             | Python           |         85 |          0 |          9 |         94 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_tab_builders.py                                      | Python           |         86 |          0 |          7 |         93 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\ui_adapter.py                                            | Python           |         17 |         -8 |          1 |         10 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\__init__.py                                           | Python           |          1 |         -1 |          0 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_backend.py                                         | Python           |        197 |        -27 |         20 |        190 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_dialogs.py                                         | Python           |         79 |        -36 |         18 |         61 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_input_method.py                                    | Python           |        388 |          0 |         99 |        487 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_layout_builders.py                                 | Python           |         18 |        -33 |          7 |         -8 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_margin_text.py                                     | Python           |         30 |          0 |          9 |         39 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_object_registry.py                                 | Python           |         11 |        -11 |          2 |          2 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_signal_wiring.py                                   | Python           |         95 |        -14 |          7 |         88 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_source_catalog.py                                  | Python           |        105 |          0 |         31 |        136 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_source_registry_dialog.py                          | Python           |        578 |          0 |         90 |        668 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_stylesheet.py                                      | Python           |         23 |        -17 |          8 |         14 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_svg_support.py                                     | Python           |         41 |          0 |         16 |         57 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tab_main.py                                        | Python           |         69 |        -36 |         17 |         50 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tab_margins.py                                     | Python           |        108 |        -29 |         28 |        107 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tab_slideshow.py                                   | Python           |        238 |        -27 |         49 |        260 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tray_adapter.py                                    | Python           |         27 |        -32 |          5 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_widget_helpers.py                                  | Python           |        317 |        -18 |         58 |        357 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\app.py                                                            | Python           |          2 |         -2 |          0 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\app_qt.py                                                         | Python           |          3 |         -3 |          0 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\controllers\optimize_controller.py                                | Python           |         37 |         -3 |          1 |         35 |
